dice,iou,hd95,precision,recall,f1,image_id,class,n_masks
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4688),Normal,32
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1299),Normal,25
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2398),Normal,33
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5012),Normal,36
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3926),Normal,46
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (115),Normal,26
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2681),Normal,19
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4908),Normal,33
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (553),Normal,29
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1538),Normal,28
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1265),Normal,41
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3058),Normal,20
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3814),Normal,28
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2871),Normal,35
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3416),Normal,30
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5029),Normal,38
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4018),Normal,42
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2054),Normal,31
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2076),Normal,39
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2204),Normal,24
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1728),Normal,33
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2466),Normal,24
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4810),Normal,22
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3536),Normal,18
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2531),Normal,41
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1497),Normal,27
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4490),Normal,34
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2686),Normal,18
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2276),Normal,41
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2128),Normal,19
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1686),Normal,30
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2232),Normal,25
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1648),Normal,43
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2235),Normal,24
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1611),Normal,30
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3004),Normal,21
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4890),Normal,34
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3428),Normal,25
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3192),Normal,36
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3572),Normal,13
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4998),Normal,33
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2243),Normal,19
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2431),Normal,25
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3047),Normal,22
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1202),Normal,35
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4393),Normal,31
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1489),Normal,25
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2307),Normal,49
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4350),Normal,25
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (501),Normal,31
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2710),Normal,39
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4257),Normal,26
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3434),Normal,30
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1687),Normal,36
