dice,iou,hd95,precision,recall,f1,image_id,class,n_masks
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3428),Normal,122
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3192),Normal,138
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3572),Normal,93
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4998),Normal,140
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2243),Normal,115
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2431),Normal,111
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3047),Normal,125
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1202),Normal,112
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4393),Normal,131
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1489),Normal,111
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2307),Normal,115
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4350),Normal,117
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (501),Normal,167
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2710),Normal,111
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4257),Normal,104
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3434),Normal,122
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1687),Normal,125
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4343),Normal,85
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (848),Normal,127
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1221),Normal,104
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3497),Normal,115
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (5059),Normal,92
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1729),Normal,93
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4281),Normal,114
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3075),Normal,125
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4498),Normal,142
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1896),Normal,108
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3493),Normal,127
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2847),Normal,131
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2322),Normal,101
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4027),Normal,123
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2309),Normal,100
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (3392),Normal,128
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (2003),Normal,135
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (1943),Normal,127
1.0,1.0,0.0,1.0,1.0,1.0,Normal- (4776),Normal,136
