dice,iou,hd95,precision,recall,f1,class,stem
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4776)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3957)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1608)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (79)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1070)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2040)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4773)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1719)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4003)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4175)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1499)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4956)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2333)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4572)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2098)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3251)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (205)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3730)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1078)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2106)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3203)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1005)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4330)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3241)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (909)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (547)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2097)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3855)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2500)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1128)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4384)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (4067)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (903)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3303)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3537)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (707)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1717)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2940)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (2304)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (5058)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (1670)
1.0,1.0,0.0,1.0,1.0,1.0,Normal,Normal- (3061)
